t,x,y,yaw
0,0.015,0,0
0.05,0.03,0,0
0.1,0.045,0,0
0.15,0.06,0,0
0.2,0.075,0,0
0.25,0.09,0,0
0.3,0.105,0,0
0.35,0.12,0,0
0.4,0.135,0,0
0.45,0.15,0,0
0.5,0.165,0,0
0.55,0.18,0,0
0.6,0.195,0,0
0.65,0.21,0,0
0.7,0.224813,0,0
0.75,0.239347,0,0
0.8,0.25361,0,0
0.85,0.267604,0,0
0.9,0.281337,0,0
0.95,0.294812,0,0
1,0.308034,0,0
1.05,0.321008,0,0
1.1,0.333739,0,0
1.15,0.346232,0,0
1.2,0.35849,0,0
1.25,0.370518,0,0
1.3,0.382321,0,0
1.35,0.393903,0,0
1.4,0.405267,0,0
1.45,0.416418,0,0
1.5,0.42736,0,0
1.55,0.438097,0,0
1.6,0.448633,0,0
1.65,0.458971,0,0
1.7,0.469115,0,0
1.75,0.479069,0,0
1.8,0.488837,0,0
1.85,0.498421,0,0
1.9,0.507826,0,0
1.95,0.517054,0,0
2,0.526109,0,0
2.05,0.534995,0,0
2.1,0.543714,0,0
2.15,0.552269,0,0
2.2,0.560664,0,0
2.25,0.568901,0,0
2.3,0.576985,0,0
2.35,0.584916,0,0
2.4,0.592699,0,0
2.45,0.600336,0,0
2.5,0.60783,0,0
2.55,0.615183,0,0
2.6,0.622398,0,0
2.65,0.629478,0,0
2.7,0.636425,0,0
2.75,0.643242,0,0
2.8,0.649932,0,0
2.85,0.656495,0,0
2.9,0.662936,0,0
2.95,0.669256,0,0
3,0.675458,0,0
3.05,0.681543,0,0
3.1,0.687514,0,0
3.15,0.693373,0,0
3.2,0.699122,0,0
3.25,0.704764,0,0
3.3,0.710299,0,0
3.35,0.715731,0,0
3.4,0.721061,0,0
3.45,0.726291,0,0
3.5,0.731423,0,0
3.55,0.736459,0,0
3.6,0.741401,0,0
3.65,0.746249,0,0
3.7,0.751007,0,0
3.75,0.755676,0,0
3.8,0.760257,0,0
3.85,0.764752,0,0
3.9,0.769163,0,0
3.95,0.773491,0,0
4,0.777738,0,0
4.05,0.781906,0,0
4.1,0.785995,0,0
4.15,0.790007,0,0
4.2,0.793945,0,0
4.25,0.797808,0,0
4.3,0.801599,0,0
4.35,0.805319,0,0
4.4,0.80897,0,0
4.45,0.812551,0,0
4.5,0.816066,0,0
4.55,0.819515,0,0
4.6,0.822899,0,0
4.65,0.82622,0,0
4.7,0.829478,0,0
4.75,0.832675,0,0
4.8,0.835813,0,0
4.85,0.838891,0,0
4.9,0.841912,0,0
4.95,0.844876,0,0
5,0.847785,0,0
5.05,0.850639,0,0
